"filename", "language", "Dart", "comment", "blank", "total"
"d:\Proyecto\App Dincydet\AppMovilDincydetV1\app_movil_dincydet\lib\firebase_options.dart", "Dart", 66, 12, 6, 84
"d:\Proyecto\App Dincydet\AppMovilDincydetV1\app_movil_dincydet\lib\main.dart", "Dart", 79, 12, 5, 96
"d:\Proyecto\App Dincydet\AppMovilDincydetV1\app_movil_dincydet\lib\src\api\endpoints.dart", "Dart", 0, 0, 1, 1
"d:\Proyecto\App Dincydet\AppMovilDincydetV1\app_movil_dincydet\lib\src\api\urls.dart", "Dart", 2, 3, 1, 6
"d:\Proyecto\App Dincydet\AppMovilDincydetV1\app_movil_dincydet\lib\src\fb\fb_push.dart", "Dart", 55, 5, 8, 68
"d:\Proyecto\App Dincydet\AppMovilDincydetV1\app_movil_dincydet\lib\src\generators\exportassistance.dart", "Dart", 120, 2, 2, 124
"d:\Proyecto\App Dincydet\AppMovilDincydetV1\app_movil_dincydet\lib\src\gis\gis.dart", "Dart", 148, 3, 14, 165
"d:\Proyecto\App Dincydet\AppMovilDincydetV1\app_movil_dincydet\lib\src\home\analytics.dart", "Dart", 244, 16, 10, 270
"d:\Proyecto\App Dincydet\AppMovilDincydetV1\app_movil_dincydet\lib\src\home\dashboard.dart", "Dart", 294, 1, 12, 307
"d:\Proyecto\App Dincydet\AppMovilDincydetV1\app_movil_dincydet\lib\src\home\myscaffold.dart", "Dart", 242, 2, 5, 249
"d:\Proyecto\App Dincydet\AppMovilDincydetV1\app_movil_dincydet\lib\src\hospital\hospital_add_cite.dart", "Dart", 153, 0, 7, 160
"d:\Proyecto\App Dincydet\AppMovilDincydetV1\app_movil_dincydet\lib\src\hospital\hospital_cita.dart", "Dart", 28, 0, 2, 30
"d:\Proyecto\App Dincydet\AppMovilDincydetV1\app_movil_dincydet\lib\src\hospital\hospital_dashboard.dart", "Dart", 257, 0, 12, 269
"d:\Proyecto\App Dincydet\AppMovilDincydetV1\app_movil_dincydet\lib\src\hospital\hospital_doctos.dart", "Dart", 117, 0, 4, 121
